id,startId,stopId,name,type,length,maxSpeed,list0,list1
1,277936275,8714559175,Keiser Wilhelms gate,residential,2.557,50,,
2,277936275,8714559176,Keiser Wilhelms gate,residential,3.533,50,,
3,277936275,7379970863,Storgata,residential,52.745,50,6.160227@6.160193@6.160037@6.159941,62.471525@62.471592@62.471903@62.471977
4,278085830,278087397,nan,service,25.766,nan,6.1593316@6.1589795@6.1589058,62.4724539@62.4723671@62.4723343
5,278085830,7379971301,Storgata,residential,47.775,50,6.1593316@6.159006@6.158954@6.158935@6.158943,62.4724539@62.472699@62.472746@62.47278@62.472834
6,278085830,7379970863,Storgata,residential,61.596,50,6.1593316@6.1598426@6.159941,62.4724539@62.4720615@62.471977
7,278086199,7379970412,Gjerdegata,unclassified,32.712,50,6.165644@6.165629@6.1655935@6.165568,62.471828@62.471901@62.4720459@62.47212
8,278086199,7204338338,nan,footway,87.995,nan,6.165644@6.1655923@6.1656133@6.1657689@6.165793@6.1656167@6.1656274@6.1658138@6.1658158@6.1656569@6.1656824@6.1658252@6.1658205@6.1656864@6.1656846,62.471828@62.4717735@62.4717262@62.4717039@62.4716716@62.4716369@62.4716001@62.47157@62.4715278@62.4715089@62.4714717@62.4714463@62.4714067@62.4713813@62.4713586
9,278086199,278210211,Keiser Wilhelms gate,residential,67.673,50,6.165644@6.165802@6.165951@6.166891@6.16693,62.471828@62.471837@62.47183@62.471723@62.4717195
10,278086199,8733658215,Keiser Wilhelms gate,residential,35.948,50,6.165644@6.165237@6.1649506,62.471828@62.4718@62.471786
11,278086241,7379971138,Storledbakken,tertiary,10.873,50,6.166992@6.166845@6.166802,62.471994@62.472027@62.472037
12,278086241,7379971137,Grensegata,residential,59.478,50,6.166992@6.166989@6.166953@6.166897,62.471994@62.47204@62.472259@62.472527
13,278086241,7204338331,nan,footway,27.371,nan,6.166992@6.1669296@6.1669524@6.1669779,62.471994@62.4719537@62.4718458@62.4717584
14,278086299,2390375007,nan,footway,8.146,nan,,
15,278086299,7379970183,Parkvegen,residential,87.306,50,6.161672@6.161611@6.161581@6.160892@6.160391@6.160333@6.160253,62.47307@62.473073@62.473068@62.472874@62.472737@62.472709@62.47266
16,278086299,4883918767,Rådstugata,residential,38.356,50,6.161672@6.161695@6.161714@6.161747@6.161797@6.1618082,62.47307@62.473065@62.473052@62.472975@62.472769@62.4727377
17,278087397,278087398,nan,service,3.941,nan,,
18,278087397,278085830,nan,service,25.766,nan,6.1589058@6.1589795@6.1593316,62.4723343@62.4723671@62.4724539
19,278087398,278087397,nan,service,3.941,nan,,
20,278210211,7204338331,nan,footway,4.977,nan,,
21,278210211,7204338330,nan,footway,5.482,nan,,
22,278210211,278210212,Borgundvegen,residential,8.153,50,6.16693@6.1669798@6.167088,62.4717195@62.4717158@62.471715
