id,latitude,longitude
277936275,62.471525,6.160227
278085830,62.4724539,6.1593316
278086199,62.471828,6.165644
278086241,62.471994,6.166992
278086299,62.47307,6.161672
278087397,62.4723343,6.1589058
278087398,62.4723013,6.1589338
278210211,62.4717195,6.16693
278210212,62.471715,6.167088
279455490,62.4734931,6.1598016
279455491,62.4735548,6.1598862
279455537,62.4732261,6.1611549
1832314547,62.4734144,6.1606114
1832314550,62.4734636,6.1605535
1832314555,62.4734524,6.1612836
1832314566,62.4735894,6.1602116
1832314567,62.4736058,6.1608809
1832314568,62.4736091,6.1611285
2390375007,62.4731432,6.1616658
2390375015,62.4734551,6.1592852
4883918765,62.4729696,6.162394
4883918767,62.4727377,6.1618082
4883918772,62.4729249,6.1621392
4883918775,62.4731737,6.1617052
4883918776,62.4731146,6.1620694
4883918778,62.4730551,6.1623698
4883918784,62.4729125,6.1628339
4883918790,62.4731667,6.162799
4883918791,62.4731927,6.1627373
4883918792,62.4733328,6.1620238
4883918793,62.4733256,6.161932
4883918800,62.4734257,6.1600175
4883918802,62.473225,6.1602328
6284472618,62.4725852,6.1619755
6284472639,62.4713242,6.1658285
6286725856,62.4731871,6.1594757
6286725859,62.4720928,6.162084
6286725864,62.4724926,6.1618958
6286725865,62.4724982,6.1619923
6286725867,62.4725801,6.1617773
6286725881,62.4715435,6.1585261
6286725882,62.4714036,6.1585932
6286726586,62.4712003,6.1624228
6286814452,62.4730012,6.1620938
6286814453,62.4729903,6.1619997
7204337168,62.4726449,6.1644474
7204337183,62.4713568,6.1586134
7204338287,62.471151,6.1624302
7204338288,62.4712384,6.1624074
7204338330,62.471671,6.1669108
7204338331,62.4717584,6.1669779
7204338336,62.4712687,6.1658339
7204338337,62.4713543,6.1655711
7204338338,62.4713586,6.1656846
7204338339,62.4713636,6.1658178
7204338345,62.4714144,6.1672286
7379966609,62.47326,6.166945
7379966618,62.4729763,6.1655262
7379967917,62.4710951,6.1603106
7379967991,62.4713696,6.1672366
7379969794,62.4711566,6.1618193
7379970183,62.47266,6.160253
7379970279,62.472869,6.166875
7379970364,62.472605,6.1642
7379970366,62.471272,6.16397
7379970367,62.471732,6.163848
7379970368,62.472175,6.163751
7379970369,62.472628,6.163622
7379970410,62.472593,6.165624
7379970411,62.472285,6.165592
7379970412,62.47212,6.165568
7379970512,62.472582,6.161843
7379970513,62.472085,6.1619762
7379970514,62.471084,6.16216
7379970517,62.471645,6.1621
7379970518,62.471171,6.162192
7379970606,62.473419,6.158305
7379970801,62.471144,6.165792
7379970863,62.471977,6.159941
7379971065,62.4731686,6.1653964
7379971078,62.471319,6.165675
7379971137,62.472527,6.166897
7379971138,62.472037,6.166802
7379971140,62.472868,6.166819
7379971193,62.4711,6.162063
7379971301,62.472834,6.158943
7379971302,62.472861,6.158708
8701109891,62.4733104,6.160299
8701109893,62.4732518,6.1600715
8701109898,62.4733604,6.1600729
8701109899,62.4733235,6.1603833
8703060321,62.4734171,6.162168
8703060322,62.4732943,6.1628285
8714541968,62.4734327,6.1588495
8714541990,62.4731394,6.1590265
8714541992,62.473295,6.1587355
8714541993,62.4732565,6.1583921
8714559172,62.4712347,6.1597091
8714559173,62.4714755,6.1596182
8714559175,62.4715287,6.1602761
8714559176,62.4715185,6.1601597
8714559177,62.4712185,6.160267
8714598692,62.4714392,6.1630565
8714598694,62.471478,6.1621412
8714917416,62.4731753,6.1657923
8715012418,62.4730218,6.1654995
8715012427,62.4730402,6.1642259
8719445411,62.4722655,6.1601168
8719445414,62.4726439,6.1603634
8719477550,62.4718024,6.1612809
8719477552,62.4720479,6.1612271
8719477556,62.4717522,6.1618897
8719477558,62.4720814,6.1618811
8719477559,62.4718173,6.1608571
8719477561,62.4720087,6.1604736
8727788877,62.4715979,6.164639
8727788878,62.4715562,6.1639026
8733658214,62.471963,6.1649099
8733658215,62.471786,6.1649506
8733662878,62.471963,6.1634347
8733662879,62.4719839,6.1637929
8733731275,62.4711814,6.1672858
8733731278,62.4713667,6.1671549
8733731279,62.4712774,6.1671737
8733731282,62.4711217,6.1672954
8746869421,62.4726968,6.1642098
8746869425,62.4726559,6.1629395
8746869432,62.4726708,6.163373
8746869433,62.4730737,6.1633341
8746889196,62.4711993,6.1604239
