id,startId,stopId,name,type,length,maxSpeed,list0,list1
1,419670424,419670478,,footway,42.659,,,
2,419670424,701231337,,footway,225.758,,6.3010043@6.3021637@6.3037602@6.3051025,62.4665172@62.4668139@62.4669805@62.4672087
3,419670438,7389934695,,footway,143.794,,6.3064461@6.3064553@6.3063351@6.3063394@6.3063654@6.306552@6.3067012@6.306954@6.3072552@6.3075357@6.307511@6.3074805,62.4688963@62.46875@62.4685199@62.4684661@62.4684188@62.468329@62.468244@62.4681709@62.4681471@62.4681376@62.4680636@62.4679752
4,419670438,26000000000,,footway,320.95,,6.3042360@6.3039290@6.3035431@6.3031132@6.3026659@6.3022273@6.3010623,62.4689315@62.4690005@62.4690045@62.4689518@62.4688464@62.4688707@62.4688739
5,419670438,27000000000,,footway,136.21,,6.3066073@6.3074415@6.3086926,62.4689739@62.4689739@62.4692774
6,419670461,419670468,,footway,196.308,,6.2946632@6.2947503@6.2951365@6.2952989@6.2955779@6.2956851,62.4683488@62.4681483@62.4676846@62.4674015@62.4667345@62.4666572
7,419670461,6286881125,,footway,17.33,,,
8,419670461,26000000000,,footway,300.68,,6.2962673@6.2991538,62.4684511@62.4690343
9,419670468,11126515421,,footway,162.549,,6.2956851@6.2961239@6.2966175@6.2974554@6.2977408@6.2985054@6.2987022,62.4666572@62.4665357@62.4665282@62.4666217@62.4666063@62.4667038@62.4667432
10,419670468,419670461,,footway,196.308,,6.2956851@6.2955779@6.2952989@6.2951365@6.2947503@6.2946632,62.4666572@62.4667345@62.4674015@62.4676846@62.4681483@62.4683488
11,419670468,10790767888,,path,23.301,,6.2956851@6.2954141@6.2952679,62.4666572@62.4666524@62.4667026
12,419670478,419670424,,footway,42.659,,,
13,419670478,419670480,,path,54.593,,6.3002282@6.2998463@6.29942,62.4666531@62.4665282@62.4663368
14,419670478,11126515421,,footway,87.373,,6.3002282@6.2996146@6.2994713@6.2992471@6.2987022,62.4666531@62.4668367@62.466858@62.4668523@62.4667432
15,419670480,5101653612,,path,37.534,,,
16,419670480,419670478,,path,54.593,,6.29942@6.2998463@6.3002282,62.4663368@62.4665282@62.4666531
17,419670480,11126515421,,path,69.391,,6.29942@6.2994119@6.2993637@6.2991035@6.2987022,62.4663368@62.4665166@62.466622@62.4667075@62.4667432
18,701231337,3209859745,,footway,94.085,,6.3051025@6.3060599@6.3067781,62.4672087@62.4673887@62.4675483
19,701231337,419670424,,footway,225.758,,6.3051025@6.3037602@6.3021637@6.3010043,62.4672087@62.4669805@62.4668139@62.4665172
20,3209859745,7389934695,,footway,61.167,,6.3067781@6.3069359@6.3070339@6.307463@6.3074805,62.4675483@62.4675948@62.467631@62.4679244@62.4679752
21,3209859745,701231337,,footway,94.085,,6.3067781@6.3060599@6.3051025,62.4675483@62.4673887@62.4672087
22,5101653612,419670480,,path,37.534,,,
23,5101653612,11126515456,,path,159.609,,6.2988675@6.2985107@6.2980387@6.2976149@6.2968183@6.2959787,62.4661161@62.4659921@62.4659314@62.4659673@62.4658669@62.465702
24,6286881119,10790767888,Lerstadvegen,service,85.551,,6.2949461@6.2951606@6.2953072@6.2952679,62.467444@62.4671936@62.4667418@62.4667026
25,6286881119,6286881122,,service,61.641,,6.2949461@6.2947449@6.2945156,62.467444@62.4677714@62.4679573
26,6286881122,6286881125,,service,48.13,,,
27,6286881122,6286881119,,service,61.641,,6.2945156@6.2947449@6.2949461,62.4679573@62.4677714@62.467444
28,6286881125,6286881122,,service,48.13,,,
29,6286881125,7389960214,Lerstadvegen,residential,70.116,50.0,6.2941945@6.294589@6.294856@6.2954922,62.4683639@62.468429@62.468458@62.4685566
30,6286881125,419670461,,footway,17.33,,,
31,7389934695,7389962167,Kyrkjehaugen,residential,19.594,30.0,,
32,7389934695,419670438,,footway,143.794,,6.3074805@6.307511@6.3075357@6.3072552@6.306954@6.3067012@6.306552@6.3063654@6.3063394@6.3063351@6.3064553@6.3064461,62.4679752@62.4680636@62.4681376@62.4681471@62.4681709@62.468244@62.468329@62.4684188@62.4684661@62.4685199@62.46875@62.4688963
33,7389934695,3209859745,,footway,61.167,,6.3074805@6.307463@6.3070339@6.3069359@6.3067781,62.4679752@62.4679244@62.467631@62.4675948@62.4675483
34,7389954338,7389962167,Kyrkjehaugen,residential,51.538,30.0,6.308859@6.308664@6.308136@6.307861,62.468028@62.468016@62.467991@62.467986
35,7389954338,9120568781,,service,42.649,,6.308859@6.308889@6.308891,62.468028@62.467855@62.467645
36,7389960214,6286881125,Lerstadvegen,residential,70.116,50.0,6.2954922@6.294856@6.294589@6.2941945,62.4685566@62.468458@62.468429@62.4683639
37,7389960214,26000000000,,footway,305.24,,6.2962298@6.2972127@6.2978139@6.2987158@6.2992477@6.2999646,62.4686772@62.4689017@62.4691155@62.4693346@62.4693773@62.4693773
38,7389960753,7389962167,Kyrkjehaugen,residential,33.358,30.0,6.307944@6.307916@6.307829@6.307819@6.3078207@6.307861,62.468273@62.468245@62.468126@62.468088@62.4680379@62.467986
39,7389960753,27000000000,,footway,128.3,,6.3082752@6.3087405@6.3087823@6.3088816,62.4686768@62.4690828@62.4692544@62.4693027
40,7389961415,7389962167,,service,49.107,,6.307793@6.307843@6.307884@6.307903@6.307905@6.307888@6.307861,62.467562@62.467586@62.467612@62.467645@62.46768@62.467892@62.467986
41,7389962167,7389934695,Kyrkjehaugen,residential,19.594,30.0,,
42,7389962167,7389954338,Kyrkjehaugen,residential,51.538,30.0,6.307861@6.308136@6.308664@6.308859,62.467986@62.467991@62.468016@62.468028
43,7389962167,7389960753,Kyrkjehaugen,residential,33.358,30.0,6.307861@6.3078207@6.307819@6.307829@6.307916@6.307944,62.467986@62.4680379@62.468088@62.468126@62.468245@62.468273
44,7389962167,7389961415,,service,49.107,,6.307861@6.307888@6.307905@6.307903@6.307884@6.307843@6.307793,62.467986@62.467892@62.46768@62.467645@62.467612@62.467586@62.467562
45,9120568781,7389954338,,service,42.649,,6.308891@6.308889@6.308859,62.467645@62.467855@62.468028
46,10790767888,6286881119,Lerstadvegen,service,85.551,,6.2952679@6.2953072@6.2951606@6.2949461,62.4667026@62.4667418@62.4671936@62.467444
47,10790767888,419670468,,path,23.301,,6.2952679@6.2954141@6.2956851,62.4667026@62.4666524@62.4666572
48,11126515421,419670478,,footway,87.373,,6.2987022@6.2992471@6.2994713@6.2996146@6.3002282,62.4667432@62.4668523@62.466858@62.4668367@62.4666531
49,11126515421,419670468,,footway,162.549,,6.2987022@6.2985054@6.2977408@6.2974554@6.2966175@6.2961239@6.2956851,62.4667432@62.4667038@62.4666063@62.4666217@62.4665282@62.4665357@62.4666572
50,11126515421,419670480,,path,69.391,,6.2987022@6.2991035@6.2993637@6.2994119@6.29942,62.4667432@62.4667075@62.466622@62.4665166@62.4663368
51,11126515450,11126515456,,path,35.667,,6.2959693@6.2960283@6.2960042@6.2959787,62.4653883@62.4654472@62.465555@62.465702
52,11126515456,5101653612,,path,159.609,,6.2959787@6.2968183@6.2976149@6.2980387@6.2985107@6.2988675,62.465702@62.4658669@62.4659673@62.4659314@62.4659921@62.4661161
53,11126515456,11126515450,,path,35.667,,6.2959787@6.2960042@6.2960283@6.2959693,62.465702@62.465555@62.4654472@62.4653883
54,26000000000,419670438,,footway,320.95,,6.3010623@6.3022273@6.3026659@6.3031132@6.3035431@6.3039290@6.3042360,62.4688739@62.4688707@62.4688464@62.4689518@62.4690045@62.4690005@62.4689315
55,26000000000,419670461,,footway,300.68,,6.2991538@6.2962673,62.4690343@62.4684511
56,26000000000,7389960214,,footway,375.24,,6.2999646@6.2992477@6.2987158@6.2978139@6.2972127@6.2962298,62.4693773@62.4693773@62.4693346@62.4691155@62.4689017@62.4686772
57,27000000000,419670438,,footway,136.21,,6.3086926@6.3074415@6.3066073,62.4692774@62.4689739@62.4689739
58,27000000000,7389960753,,footway,128.3,,6.3088816@6.3087823@6.3087405@6.3082752,62.4693027@62.4692544@62.4690828@62.4686768
