i,j,t,r
0,13,0,66
0,13,1,81
0,13,2,111
0,13,3,49
0,13,4,51
0,13,5,117
0,13,6,138
0,13,7,115
0,13,8,61
0,13,9,91
1,9,0,188
1,9,1,232
1,9,2,174
1,9,3,236
1,9,4,227
1,9,5,167
1,9,6,172
1,9,7,148
1,9,8,227
1,9,9,171
2,4,0,205
2,4,1,265
2,4,2,295
2,4,3,272
2,4,4,292
2,4,5,269
2,4,6,212
2,4,7,283
2,4,8,210
2,4,9,250
2,9,0,78
2,9,1,28
2,9,2,27
2,9,3,61
2,9,4,103
2,9,5,109
2,9,6,66
2,9,7,76
2,9,8,86
2,9,9,40
2,22,0,375
2,22,1,309
2,22,2,320
2,22,3,339
2,22,4,339
2,22,5,347
2,22,6,356
2,22,7,317
2,22,8,352
2,22,9,335
3,6,0,31
3,6,1,61
3,6,2,21
3,6,3,78
3,6,4,24
3,6,5,102
3,6,6,34
3,6,7,43
3,6,8,26
3,6,9,38
3,22,0,111
3,22,1,168
3,22,2,157
3,22,3,153
3,22,4,170
3,22,5,162
3,22,6,161
3,22,7,127
3,22,8,176
3,22,9,90
4,2,0,225
4,2,1,259
4,2,2,302
4,2,3,236
4,2,4,239
4,2,5,318
4,2,6,306
4,2,7,285
4,2,8,317
4,2,9,280
4,12,0,76
4,12,1,94
4,12,2,37
4,12,3,105
4,12,4,14
4,12,5,77
4,12,6,83
4,12,7,34
4,12,8,14
4,12,9,46
5,8,0,111
5,8,1,145
5,8,2,154
5,8,3,112
5,8,4,125
5,8,5,113
5,8,6,84
5,8,7,97
5,8,8,141
5,8,9,119
5,22,0,69
5,22,1,146
5,22,2,68
5,22,3,146
5,22,4,106
5,22,5,112
5,22,6,65
5,22,7,128
5,22,8,111
5,22,9,79
5,23,0,100
5,23,1,135
5,23,2,99
5,23,3,113
5,23,4,61
5,23,5,137
5,23,6,79
5,23,7,107
5,23,8,114
5,23,9,128
6,3,0,58
6,3,1,16
6,3,2,47
6,3,3,86
6,3,4,22
6,3,5,100
6,3,6,53
6,3,7,33
6,3,8,73
6,3,9,34
7,11,0,278
7,11,1,202
7,11,2,224
7,11,3,206
7,11,4,229
7,11,5,218
7,11,6,201
7,11,7,267
7,11,8,263
7,11,9,246
7,15,0,92
7,15,1,85
7,15,2,32
7,15,3,92
7,15,4,49
7,15,5,93
7,15,6,47
7,15,7,64
7,15,8,114
7,15,9,31
7,20,0,115
7,20,1,89
7,20,2,69
7,20,3,33
7,20,4,39
7,20,5,18
7,20,6,101
7,20,7,63
7,20,8,48
7,20,9,41
7,21,0,99
7,21,1,154
7,21,2,99
7,21,3,122
7,21,4,177
7,21,5,102
7,21,6,109
7,21,7,158
7,21,8,152
7,21,9,81
8,5,0,135
8,5,1,92
8,5,2,102
8,5,3,147
8,5,4,87
8,5,5,66
8,5,6,101
8,5,7,75
8,5,8,107
8,5,9,159
8,16,0,178
8,16,1,157
8,16,2,171
8,16,3,193
8,16,4,111
8,16,5,140
8,16,6,187
8,16,7,160
8,16,8,140
8,16,9,112
8,17,0,97
8,17,1,68
8,17,2,97
