i,j,t,r
0,17,0,84
0,17,1,24
0,17,2,36
0,17,3,84
0,17,4,52
0,17,5,65
0,17,6,75
0,17,7,64
0,17,8,55
0,17,9,75
0,17,10,36
0,17,11,22
0,17,12,87
0,17,13,61
0,17,14,95
0,17,15,38
0,17,16,96
0,17,17,51
0,17,18,92
0,17,19,78
0,22,0,60
0,22,1,90
0,22,2,91
0,22,3,76
0,22,4,80
0,22,5,69
0,22,6,41
0,22,7,61
0,22,8,68
0,22,9,68
0,22,10,58
0,22,11,74
0,22,12,14
0,22,13,106
0,22,14,103
0,22,15,82
0,22,16,17
0,22,17,104
0,22,18,28
0,22,19,63
0,27,0,34
0,27,1,31
0,27,2,58
0,27,3,39
0,27,4,45
0,27,5,49
0,27,6,35
0,27,7,71
0,27,8,96
0,27,9,97
0,27,10,89
0,27,11,66
0,27,12,50
0,27,13,17
0,27,14,22
0,27,15,73
0,27,16,49
0,27,17,76
0,27,18,69
0,27,19,62
1,5,0,65
1,5,1,57
1,5,2,55
1,5,3,92
1,5,4,16
1,5,5,74
1,5,6,75
1,5,7,106
1,5,8,67
1,5,9,83
1,5,10,104
1,5,11,96
1,5,12,89
1,5,13,74
1,5,14,11
1,5,15,88
1,5,16,28
1,5,17,93
1,5,18,16
1,5,19,14
1,18,0,20
1,18,1,93
1,18,2,54
1,18,3,30
1,18,4,75
1,18,5,11
1,18,6,65
1,18,7,89
1,18,8,62
1,18,9,88
1,18,10,11
1,18,11,61
1,18,12,106
1,18,13,87
1,18,14,45
1,18,15,32
1,18,16,37
1,18,17,106
1,18,18,54
1,18,19,84
2,3,0,25
2,3,1,91
2,3,2,31
2,3,3,4
2,3,4,46
2,3,5,71
2,3,6,81
2,3,7,61
2,3,8,76
2,3,9,95
2,3,10,41
2,3,11,15
2,3,12,99
2,3,13,76
2,3,14,40
2,3,15,6
2,3,16,27
2,3,17,61
2,3,18,42
2,3,19,35
2,16,0,57
2,16,1,100
2,16,2,47
2,16,3,39
2,16,4,88
2,16,5,78
2,16,6,72
2,16,7,22
2,16,8,37
2,16,9,99
2,16,10,46
2,16,11,33
2,16,12,57
2,16,13,21
2,16,14,65
2,16,15,37
2,16,16,95
2,16,17,94
2,16,18,62
2,16,19,77
3,2,0,81
3,2,1,19
3,2,2,33
3,2,3,87
3,2,4,92
3,2,5,53
3,2,6,57
3,2,7,100
3,2,8,25
3,2,9,79
3,2,10,96
3,2,11,34
3,2,12,94
3,2,13,23
3,2,14,90
3,2,15,13
3,2,16,34
3,2,17,84
3,2,18,8
3,2,19,6
3,4,0,30
3,4,1,21
3,4,2,57
3,4,3,74
3,4,4,13
3,4,5,49
3,4,6,1
3,4,7,50
3,4,8,75
3,4,9,46
3,4,10,83
3,4,11,28
3,4,12,41
3,4,13,45
3,4,14,26
3,4,15,39
3,4,16,76
3,4,17,32
3,4,18,24
3,4,19,81
4,3,0,49
4,3,1,26
4,3,2,44
4,3,3,65
4,3,4,66
4,3,5,95
4,3,6,52
4,3,7,72
4,3,8,49
4,3,9,6
4,3,10,66
4,3,11,34
4,3,12,90
4,3,13,65
4,3,14,90
4,3,15,73
4,3,16,8
4,3,17,18
4,3,18,100
4,3,19,18
4,26,0,95
4,26,1,32
4,26,2,83
4,26,3,20
4,26,4,105
4,26,5,14
4,26,6,99
4,26,7,65
4,26,8,67
4,26,9,55
4,26,10,19
4,26,11,51
4,26,12,68
4,26,13,29
4,26,14,42
4,26,15,37
4,26,16,62
4,26,17,82
4,26,18,49
4,26,19,66
5,1,0,23
5,1,1,43
5,1,2,31
5,1,3,17
5,1,4,101
5,1,5,50
5,1,6,14
5,1,7,12
5,1,8,30
5,1,9,34
5,1,10,45
5,1,11,83
5,1,12,54
5,1,13,31
5,1,14,17
5,1,15,106
5,1,16,99
5,1,17,92
5,1,18,92
5,1,19,87
5,6,0,33
5,6,1,33
5,6,2,18
5,6,3,66
5,6,4,53
5,6,5,58
5,6,6,80
5,6,7,18
5,6,8,35
5,6,9,44
5,6,10,21
5,6,11,25
5,6,12,79
5,6,13,94
5,6,14,59
5,6,15,49
5,6,16,39
5,6,17,74
5,6,18,3
5,6,19,77
5,14,0,105
5,14,1,82
5,14,2,51
5,14,3,37
5,14,4,101
5,14,5,40
5,14,6,13
