i,j,t,r
0,1,0,85
0,1,1,1
0,1,2,59
0,1,3,86
0,1,4,18
0,1,5,19
0,1,6,23
0,1,7,44
0,1,8,66
0,1,9,76
0,1,10,35
0,1,11,67
0,1,12,77
0,1,13,55
0,1,14,86
0,1,15,45
0,1,16,93
0,1,17,45
0,1,18,68
0,1,19,39
0,3,0,19
0,3,1,27
0,3,2,27
0,3,3,48
0,3,4,90
0,3,5,82
0,3,6,32
0,3,7,50
0,3,8,2
0,3,9,87
0,3,10,47
0,3,11,81
0,3,12,32
0,3,13,15
0,3,14,79
0,3,15,75
0,3,16,17
0,3,17,83
0,3,18,71
0,3,19,69
1,0,0,13
1,0,1,9
1,0,2,51
1,0,3,68
1,0,4,100
1,0,5,1
1,0,6,75
1,0,7,78
1,0,8,66
1,0,9,95
1,0,10,73
1,0,11,93
1,0,12,75
1,0,13,32
1,0,14,54
1,0,15,67
1,0,16,72
1,0,17,44
1,0,18,85
1,0,19,13
1,2,0,52
1,2,1,89
1,2,2,48
1,2,3,58
1,2,4,99
1,2,5,20
1,2,6,51
1,2,7,52
1,2,8,53
1,2,9,67
1,2,10,99
1,2,11,70
1,2,12,43
1,2,13,32
1,2,14,67
1,2,15,99
1,2,16,74
1,2,17,21
1,2,18,37
1,2,19,75
1,7,0,18
1,7,1,40
1,7,2,96
1,7,3,97
1,7,4,48
1,7,5,43
1,7,6,58
1,7,7,96
1,7,8,69
1,7,9,11
1,7,10,96
1,7,11,53
1,7,12,90
1,7,13,34
1,7,14,33
1,7,15,55
1,7,16,21
1,7,17,34
1,7,18,42
1,7,19,83
2,1,0,7
2,1,1,27
2,1,2,93
2,1,3,2
2,1,4,61
2,1,5,84
2,1,6,71
2,1,7,86
2,1,8,65
2,1,9,56
2,1,10,26
2,1,11,99
2,1,12,19
2,1,13,43
2,1,14,64
2,1,15,53
2,1,16,81
2,1,17,90
2,1,18,41
2,1,19,66
2,5,0,88
2,5,1,47
2,5,2,31
2,5,3,40
2,5,4,21
2,5,5,3
2,5,6,88
2,5,7,39
2,5,8,51
2,5,9,25
2,5,10,43
2,5,11,89
2,5,12,71
2,5,13,49
2,5,14,21
2,5,15,80
2,5,16,14
2,5,17,26
2,5,18,7
2,5,19,20
3,0,0,68
3,0,1,95
3,0,2,92
3,0,3,46
3,0,4,68
3,0,5,23
3,0,6,39
3,0,7,39
3,0,8,13
3,0,9,82
3,0,10,18
3,0,11,52
3,0,12,89
3,0,13,38
3,0,14,31
3,0,15,88
3,0,16,74
3,0,17,40
3,0,18,82
3,0,19,41
3,4,0,6
3,4,1,91
3,4,2,92
3,4,3,93
3,4,4,29
3,4,5,4
3,4,6,51
3,4,7,70
3,4,8,41
3,4,9,52
3,4,10,14
3,4,11,42
3,4,12,75
3,4,13,85
3,4,14,86
3,4,15,77
3,4,16,19
3,4,17,18
3,4,18,26
3,4,19,69
4,3,0,40
4,3,1,45
4,3,2,58
4,3,3,26
4,3,4,84
4,3,5,94
4,3,6,37
4,3,7,90
4,3,8,77
4,3,9,81
4,3,10,64
4,3,11,23
4,3,12,55
4,3,13,39
4,3,14,22
4,3,15,91
4,3,16,3
4,3,17,6
4,3,18,66
4,3,19,30
4,26,0,89
4,26,1,8
4,26,2,35
4,26,3,17
4,26,4,55
4,26,5,88
4,26,6,31
4,26,7,91
4,26,8,37
4,26,9,99
4,26,10,38
4,26,11,11
4,26,12,36
4,26,13,78
4,26,14,33
4,26,15,1
4,26,16,79
4,26,17,11
4,26,18,55
4,26,19,29
4,27,0,83
4,27,1,81
4,27,2,54
4,27,3,28
4,27,4,34
4,27,5,92
4,27,6,6
4,27,7,85
4,27,8,65
4,27,9,89
4,27,10,26
4,27,11,89
4,27,12,84
4,27,13,12
4,27,14,37
4,27,15,44
4,27,16,34
4,27,17,7
4,27,18,66
4,27,19,85
4,116,0,26
4,116,1,28
4,116,2,59
4,116,3,7
4,116,4,21
4,116,5,88
4,116,6,20
4,116,7,90
4,116,8,39
4,116,9,45
4,116,10,36
4,116,11,85
4,116,12,14
4,116,13,3
4,116,14,10
4,116,15,70
4,116,16,67
4,116,17,55
4,116,18,34
4,116,19,58
5,2,0,39
5,2,1,69
5,2,2,71
5,2,3,81
5,2,4,65
5,2,5,70
5,2,6,52
5,2,7,79
5,2,8,34
5,2,9,54
5,2,10,16
5,2,11,95
5,2,12,49
5,2,13,9
5,2,14,4
5,2,15,2
5,2,16,73
5,2,17,13
5,2,18,35
5,2,19,8
6,7,0,7
6,7,1,9
6,7,2,51
6,7,3,84
6,7,4,53
6,7,5,78
6,7,6,38
6,7,7,83
6,7,8,73
6,7,9,19
6,7,10,52
6,7,11,83
6,7,12,11
6,7,13,56
6,7,14,77
6,7,15,27
6,7,16,70
6,7,17,46
6,7,18,49
6,7,19,49
7,1,0,9
7,1,1,46
7,1,2,74
7,1,3,77
7,1,4,4
7,1,5,84
7,1,6,33
7,1,7,36
7,1,8,81
7,1,9,9
7,1,10,94
7,1,11,42
7,1,12,100
7,1,13,18
7,1,14,40
7,1,15,23
7,1,16,76
7,1,17,3
7,1,18,70
7,1,19,44
7,6,0,68
7,6,1,12
7,6,2,96
7,6,3,46
7,6,4,52
7,6,5,14
7,6,6,96
7,6,7,55
7,6,8,15
7,6,9,60
7,6,10,54
7,6,11,64
7,6,12,17
7,6,13,79
7,6,14,79
7,6,15,54
7,6,16,35
7,6,17,34
7,6,18,98
7,6,19,25
8,9,0,93
8,9,1,4
8,9,2,33
8,9,3,21
8,9,4,25
8,9,5,34
8,9,6,79
8,9,7,94
8,9,8,66
8,9,9,76
8,9,10,94
8,9,11,92
8,9,12,83
8,9,13,34
8,9,14,24
8,9,15,9
8,9,16,44
8,9,17,68
8,9,18,71
8,9,19,53
9,8,0,12
9,8,1,16
9,8,2,35
9,8,3,73
9,8,4,48
9,8,5,8
9,8,6,82
9,8,7,56
9,8,8,34
9,8,9,21
9,8,10,80
9,8,11,55
9,8,12,97
9,8,13,80
9,8,14,18
9,8,15,38
9,8,16,23
9,8,17,82
9,8,18,29
9,8,19,45
9,13,0,79
9,13,1,58
9,13,2,23
9,13,3,90
9,13,4,22
9,13,5,59
9,13,6,70
9,13,7,21
9,13,8,39
9,13,9,90
9,13,10,53
9,13,11,96
9,13,12,27
9,13,13,97
9,13,14,75
9,13,15,62
9,13,16,2
9,13,17,6
9,13,18,29
9,13,19,56
10,14,0,33
10,14,1,49
10,14,2,98
10,14,3,39
10,14,4,2
10,14,5,87
10,14,6,36
10,14,7,1
10,14,8,73
10,14,9,60
10,14,10,76
10,14,11,74
10,14,12,70
10,14,13,9
10,14,14,76
10,14,15,18
10,14,16,6
10,14,17,99
10,14,18,26
10,14,19,52
10,17,0,99
10,17,1,63
10,17,2,94
10,17,3,3
10,17,4,88
10,17,5,90
10,17,6,43
10,17,7,83
10,17,8,3
10,17,9,52
10,17,10,31
10,17,11,79
10,17,12,68
10,17,13,87
10,17,14,84
10,17,15,26
10,17,16,50
10,17,17,17
10,17,18,80
10,17,19,3
10,18,0,70
10,18,1,65
10,18,2,52
10,18,3,63
10,18,4,8
10,18,5,79
10,18,6,67
10,18,7,13
10,18,8,92
10,18,9,96
10,18,10,55
10,18,11,57
10,18,12,41
10,18,13,93
10,18,14,4
10,18,15,61
10,18,16,74
10,18,17,17
10,18,18,98
10,18,19,71
10,20,0,14
10,20,1,17
10,20,2,11
10,20,3,82
10,20,4,24
10,20,5,84
10,20,6,98
10,20,7,21
10,20,8,2
10,20,9,77
10,20,10,84
10,20,11,90
10,20,12,82
10,20,13,39
10,20,14,43
10,20,15,60
10,20,16,74
10,20,17,98
10,20,18,33
10,20,19,93
11,12,0,59
11,12,1,14
11,12,2,63
11,12,3,3
11,12,4,43
11,12,5,47
11,12,6,67
11,12,7,80
11,12,8,9
11,12,9,92
11,12,10,68
11,12,11,6
11,12,12,19
11,12,13,68
11,12,14,2
11,12,15,11
11,12,16,6
11,12,17,86
11,12,18,93
11,12,19,93
11,15,0,77
11,15,1,13
11,15,2,28
11,15,3,21
11,15,4,59
11,15,5,65
11,15,6,85
11,15,7,80
11,15,8,16
11,15,9,4
11,15,10,67
11,15,11,12
11,15,12,96
11,15,13,40
11,15,14,63
11,15,15,52
11,15,16,72
11,15,17,40
11,15,18,31
11,15,19,1
11,17,0,58
11,17,1,58
11,17,2,99
11,17,3,65
11,17,4,12
11,17,5,21
11,17,6,97
11,17,7,2
11,17,8,72
11,17,9,17
11,17,10,86
11,17,11,4
11,17,12,23
11,17,13,22
11,17,14,62
11,17,15,70
11,17,16,73
11,17,17,35
11,17,18,71
11,17,19,24
12,11,0,77
12,11,1,99
12,11,2,77
12,11,3,14
12,11,4,33
12,11,5,56
12,11,6,77
12,11,7,45
12,11,8,1
12,11,9,62
12,11,10,28
12,11,11,23
12,11,12,70
12,11,13,52
12,11,14,39
12,11,15,15
12,11,16,11
12,11,17,61
12,11,18,50
12,11,19,7
12,13,0,59
12,13,1,83
12,13,2,45
12,13,3,42
12,13,4,86
12,13,5,31
12,13,6,29
12,13,7,47
12,13,8,86
12,13,9,65
12,13,10,76
12,13,11,43
12,13,12,65
12,13,13,46
12,13,14,56
12,13,15,18
12,13,16,28
12,13,17,2
12,13,18,29
12,13,19,25
12,15,0,9
12,15,1,22
12,15,2,80
12,15,3,23
12,15,4,36
12,15,5,49
12,15,6,36
12,15,7,76
12,15,8,35
12,15,9,90
12,15,10,22
12,15,11,52
12,15,12,39
12,15,13,78
12,15,14,39
12,15,15,100
12,15,16,65
12,15,17,7
12,15,18,33
12,15,19,77
13,9,0,52
13,9,1,96
13,9,2,36
13,9,3,100
13,9,4,79
13,9,5,85
13,9,6,86
13,9,7,44
13,9,8,53
13,9,9,73
13,9,10,88
13,9,11,75
13,9,12,58
13,9,13,43
13,9,14,92
13,9,15,61
13,9,16,80
13,9,17,50
13,9,18,14
13,9,19,88
13,12,0,2
13,12,1,11
13,12,2,80
13,12,3,47
13,12,4,3
13,12,5,53
13,12,6,29
13,12,7,74
13,12,8,82
13,12,9,86
13,12,10,26
13,12,11,94
13,12,12,5
13,12,13,91
13,12,14,85
13,12,15,87
13,12,16,92
13,12,17,87
13,12,18,68
13,12,19,7
13,21,0,36
13,21,1,72
13,21,2,35
13,21,3,35
13,21,4,12
13,21,5,80
13,21,6,63
13,21,7,42
13,21,8,57
13,21,9,77
13,21,10,1
13,21,11,14
13,21,12,50
13,21,13,80
13,21,14,31
13,21,15,1
13,21,16,43
13,21,17,19
13,21,18,70
13,21,19,29
14,10,0,66
14,10,1,90
14,10,2,20
14,10,3,84
14,10,4,58
14,10,5,66
14,10,6,38
14,10,7,80
14,10,8,32
14,10,9,58
14,10,10,88
14,10,11,18
14,10,12,39
14,10,13,45
14,10,14,20
14,10,15,48
14,10,16,32
14,10,17,5
14,10,18,54
14,10,19,75
15,11,0,58
15,11,1,23
15,11,2,6
15,11,3,3
15,11,4,99
15,11,5,9
15,11,6,62
15,11,7,12
15,11,8,95
15,11,9,15
15,11,10,24
15,11,11,82
15,11,12,7
15,11,13,59
15,11,14,50
15,11,15,16
15,11,16,83
15,11,17,62
15,11,18,52
15,11,19,81
15,12,0,11
15,12,1,26
15,12,2,89
15,12,3,43
15,12,4,81
15,12,5,35
15,12,6,19
15,12,7,20
15,12,8,19
15,12,9,40
15,12,10,61
15,12,11,21
15,12,12,42
15,12,13,98
15,12,14,2
15,12,15,53
15,12,16,68
15,12,17,50
15,12,18,85
15,12,19,42
15,29,0,46
15,29,1,88
15,29,2,28
15,29,3,8
15,29,4,19
15,29,5,96
15,29,6,30
15,29,7,75
15,29,8,80
15,29,9,33
15,29,10,87
15,29,11,67
15,29,12,85
15,29,13,55
15,29,14,46
15,29,15,78
15,29,16,94
15,29,17,91
15,29,18,50
15,29,19,61
17,10,0,91
17,10,1,61
17,10,2,7
17,10,3,39
17,10,4,62
17,10,5,93
17,10,6,72
17,10,7,30
17,10,8,43
17,10,9,62
17,10,10,84
17,10,11,20
17,10,12,50
17,10,13,3
17,10,14,92
17,10,15,32
17,10,16,2
17,10,17,70
17,10,18,90
17,10,19,27
17,11,0,45
17,11,1,49
17,11,2,42
17,11,3,91
17,11,4,99
17,11,5,21
17,11,6,68
17,11,7,80
17,11,8,55
17,11,9,35
17,11,10,95
17,11,11,30
17,11,12,46
17,11,13,12
17,11,14,11
