i,j,t,r
0,13,0,42
0,13,1,41
0,13,2,46
0,13,3,50
0,13,4,80
0,13,5,82
0,13,6,96
0,13,7,46
0,13,8,129
0,13,9,124
1,9,0,228
1,9,1,232
1,9,2,205
1,9,3,154
1,9,4,236
1,9,5,212
1,9,6,152
1,9,7,179
1,9,8,218
1,9,9,157
2,4,0,220
2,4,1,279
2,4,2,247
2,4,3,228
2,4,4,238
2,4,5,226
2,4,6,222
2,4,7,258
2,4,8,209
2,4,9,239
2,9,0,72
2,9,1,83
2,9,2,23
2,9,3,77
2,9,4,19
2,9,5,22
2,9,6,66
2,9,7,77
2,9,8,73
2,9,9,56
2,22,0,289
2,22,1,304
2,22,2,359
2,22,3,335
2,22,4,326
2,22,5,343
2,22,6,328
2,22,7,342
2,22,8,330
2,22,9,312
3,6,0,37
3,6,1,23
3,6,2,21
3,6,3,11
3,6,4,97
3,6,5,69
3,6,6,50
3,6,7,67
3,6,8,52
3,6,9,26
3,22,0,141
3,22,1,128
3,22,2,114
3,22,3,111
3,22,4,147
3,22,5,118
3,22,6,163
3,22,7,174
3,22,8,172
3,22,9,120
4,2,0,273
4,2,1,235
4,2,2,302
4,2,3,297
4,2,4,282
4,2,5,239
4,2,6,249
4,2,7,251
4,2,8,296
4,2,9,271
4,12,0,71
4,12,1,30
4,12,2,87
4,12,3,83
4,12,4,53
4,12,5,28
4,12,6,49
4,12,7,91
4,12,8,58
4,12,9,59
5,8,0,110
5,8,1,156
5,8,2,75
5,8,3,73
5,8,4,78
5,8,5,80
5,8,6,107
5,8,7,73
5,8,8,63
5,8,9,157
5,22,0,134
5,22,1,123
5,22,2,72
5,22,3,139
5,22,4,83
5,22,5,93
5,22,6,111
5,22,7,90
5,22,8,147
5,22,9,136
5,23,0,131
5,23,1,123
5,23,2,114
5,23,3,153
5,23,4,102
5,23,5,74
5,23,6,91
5,23,7,130
5,23,8,154
5,23,9,93
6,3,0,40
6,3,1,35
6,3,2,63
6,3,3,47
6,3,4,24
6,3,5,27
6,3,6,77
6,3,7,94
6,3,8,83
6,3,9,101
7,11,0,261
7,11,1,211
7,11,2,219
7,11,3,206
7,11,4,278
7,11,5,279
7,11,6,201
7,11,7,252
7,11,8,252
7,11,9,276
7,15,0,60
7,15,1,55
7,15,2,37
7,15,3,101
7,15,4,36
7,15,5,114
7,15,6,69
7,15,7,25
7,15,8,66
7,15,9,70
7,20,0,110
7,20,1,89
7,20,2,53
7,20,3,56
7,20,4,81
7,20,5,50
7,20,6,59
7,20,7,27
7,20,8,44
7,20,9,95
7,21,0,131
7,21,1,82
7,21,2,159
7,21,3,85
7,21,4,139
7,21,5,161
7,21,6,88
7,21,7,89
7,21,8,130
7,21,9,135
8,5,0,113
8,5,1,68
8,5,2,78
8,5,3,71
8,5,4,71
8,5,5,70
8,5,6,139
8,5,7,88
8,5,8,98
8,5,9,88
8,16,0,168
8,16,1,190
8,16,2,171
8,16,3,145
8,16,4,161
8,16,5,115
8,16,6,203
8,16,7,195
8,16,8,177
8,16,9,120
8,17,0,130
8,17,1,121
8,17,2,75
8,17,3,80
8,17,4,93
8,17,5,127
8,17,6,52
8,17,7,49
8,17,8,140
8,17,9,105
8,23,0,105
8,23,1,42
8,23,2,94
8,23,3,88
8,23,4,104
8,23,5,124
8,23,6,80
8,23,7,137
8,23,8,97
8,23,9,130
9,1,0,221
9,1,1,166
9,1,2,161
9,1,3,150
9,1,4,206
9,1,5,198
9,1,6,155
9,1,7,169
9,1,8,169
9,1,9,247
9,2,0,85
9,2,1,95
9,2,2,42
9,2,3,49
9,2,4,89
9,2,5,100
9,2,6,42
9,2,7,18
9,2,8,90
9,2,9,36
10,13,0,64
10,13,1,45
10,13,2,87
10,13,3,70
10,13,4,106
10,13,5,53
10,13,6,57
10,13,7,103
10,13,8,76
10,13,9,48
11,7,0,247
11,7,1,177
11,7,2,265
11,7,3,262
11,7,4,249
11,7,5,221
11,7,6,233
11,7,7,201
11,7,8,177
11,7,9,261
12,4,0,31
12,4,1,12
12,4,2,36
12,4,3,27
12,4,4,45
12,4,5,107
12,4,6,38
12,4,7,55
12,4,8,73
12,4,9,71
13,0,0,105
13,0,1,105
13,0,2,41
13,0,3,107
13,0,4,55
13,0,5,75
13,0,6,108
13,0,7,44
13,0,8,39
13,0,9,63
13,10,0,23
13,10,1,42
13,10,2,66
13,10,3,13
13,10,4,79
13,10,5,47
13,10,6,92
13,10,7,24
13,10,8,22
13,10,9,64
13,22,0,127
13,22,1,170
13,22,2,138
13,22,3,103
13,22,4,107
13,22,5,100
13,22,6,145
13,22,7,184
13,22,8,150
13,22,9,193
14,15,0,88
14,15,1,67
14,15,2,44
14,15,3,73
14,15,4,16
14,15,5,95
14,15,6,76
14,15,7,77
14,15,8,39
14,15,9,40
14,24,0,121
14,24,1,70
14,24,2,129
14,24,3,148
14,24,4,83
14,24,5,149
14,24,6,106
14,24,7,92
14,24,8,71
14,24,9,68
15,7,0,38
15,7,1,29
15,7,2,71
15,7,3,78
15,7,4,66
15,7,5,84
15,7,6,97
15,7,7,75
15,7,8,82
15,7,9,90
15,14,0,83
15,14,1,105
15,14,2,86
15,14,3,71
15,14,4,82
15,14,5,11
15,14,6,33
15,14,7,72
15,14,8,15
15,14,9,14
15,20,0,101
15,20,1,79
15,20,2,75
15,20,3,106
15,20,4,102
15,20,5,58
15,20,6,73
15,20,7,82
15,20,8,45
15,20,9,62
16,8,0,149
16,8,1,134
16,8,2,185
16,8,3,184
16,8,4,122
16,8,5,148
16,8,6,203
16,8,7,123
16,8,8,150
16,8,9,207
16,23,0,190
16,23,1,110
16,23,2,179
16,23,3,135
16,23,4,192
16,23,5,105
16,23,6,188
16,23,7,115
16,23,8,142
16,23,9,100
17,8,0,133
17,8,1,52
17,8,2,95
17,8,3,51
17,8,4,124
17,8,5,56
17,8,6,147
17,8,7,147
17,8,8,132
17,8,9,117
17,20,0,84
17,20,1,89
17,20,2,45
17,20,3,113
17,20,4,85
17,20,5,138
17,20,6,116
17,20,7,130
17,20,8,63
17,20,9,133
17,23,0,49
17,23,1,74
17,23,2,123
