N;S;T;MaxT;MidT;MinT;D
Ørskog;SN60800;01.01.2020;12;9,4;4,5;0
Ørskog;SN60800;02.01.2020;14,6;11;6,5;0
Ørskog;SN60800;03.01.2020;9,1;2,5;-1;0
Ørskog;SN60800;04.01.2020;3,9;1,8;-0,4;8
Ørskog;SN60800;05.01.2020;6,9;4,3;0;7
Ørskog;SN60800;06.01.2020;13,6;10,2;2,5;0
Ørskog;SN60800;07.01.2020;13;8,6;3,4;0
Ørskog;SN60800;08.01.2020;11;6;3;0
Ørskog;SN60800;09.01.2020;6,5;4,2;-0,3;0
Ørskog;SN60800;10.01.2020;6,6;5,7;2;0
Ørskog;SN60800;11.01.2020;10,3;7,7;5,8;0
Ørskog;SN60800;12.01.2020;6,8;3;1,7;0
Ørskog;SN60800;13.01.2020;8,2;6,3;1,2;0
Ørskog;SN60800;14.01.2020;9,3;6,3;3,2;0
Ørskog;SN60800;15.01.2020;8,7;6;0;0
Ørskog;SN60800;16.01.2020;9,4;6,7;4;0
Ørskog;SN60800;17.01.2020;10,8;8,9;2,7;0
Ørskog;SN60800;18.01.2020;10,2;6,6;4,2;0
Ørskog;SN60800;19.01.2020;6,8;4,8;2,6;0
Ørskog;SN60800;20.01.2020;12,6;8,8;6;0
Ørskog;SN60800;21.01.2020;8,6;4,6;2,8;0
Ørskog;SN60800;22.01.2020;4,7;3,5;1,8;0
Ørskog;SN60800;23.01.2020;10,8;7,3;3,2;0
Ørskog;SN60800;24.01.2020;6,3;3,5;1,6;0
Ørskog;SN60800;25.01.2020;10,3;6;1,6;0
Ørskog;SN60800;26.01.2020;10,6;8,9;5,4;0
Ørskog;SN60800;27.01.2020;10,2;4;1,2;0
Ørskog;SN60800;28.01.2020;5,2;2,3;-0,9;0
Ørskog;SN60800;29.01.2020;5,7;1,8;-0,2;0
Ørskog;SN60800;30.01.2020;4,3;2,5;-1,4;0
Ørskog;SN60800;31.01.2020;8,1;5,7;1,3;0
Ørskog;SN60800;01.02.2020;5,7;1,2;-0,1;0
Ørskog;SN60800;02.02.2020;4;1,6;0,3;0
Ørskog;SN60800;03.02.2020;0,6;-0,6;-3;6
Ørskog;SN60800;04.02.2020;1,5;-1,1;-6;6
Ørskog;SN60800;05.02.2020;6,2;4,3;0,4;4
Ørskog;SN60800;06.02.2020;7;5,2;3,8;0
Ørskog;SN60800;07.02.2020;6,4;2,2;1;0
Ørskog;SN60800;08.02.2020;12,4;7,5;-0,9;-
Ørskog;SN60800;09.02.2020;9;6,8;5,1;-
Ørskog;SN60800;10.02.2020;8,4;3,6;1,3;-
Ørskog;SN60800;11.02.2020;4,1;2,5;0,4;-
Ørskog;SN60800;12.02.2020;2,4;1,3;0,1;-
Ørskog;SN60800;13.02.2020;2,7;1,2;-0,4;5
Ørskog;SN60800;14.02.2020;4,5;2,2;-1,1;8
Ørskog;SN60800;15.02.2020;8,3;6,2;2,4;0
Ørskog;SN60800;16.02.2020;11,1;6,7;3,2;0
Ørskog;SN60800;17.02.2020;8,8;6,3;4,1;0
Ørskog;SN60800;18.02.2020;5,8;3,4;1,7;0
Ørskog;SN60800;19.02.2020;5,8;2,7;1,1;0
Ørskog;SN60800;20.02.2020;10;5,2;0,2;0
Ørskog;SN60800;21.02.2020;6,9;4,4;0,2;0
Ørskog;SN60800;22.02.2020;8,2;2,9;1,5;-
Ørskog;SN60800;23.02.2020;4,6;2,3;0,5;0
Ørskog;SN60800;24.02.2020;2,8;1,1;0,3;0
Ørskog;SN60800;25.02.2020;2,1;-2,5;-5,3;3
Ørskog;SN60800;26.02.2020;3,2;0,9;-4,9;2
Ørskog;SN60800;27.02.2020;3,5;1,6;-0,3;0
Ørskog;SN60800;28.02.2020;4,5;1,9;0,6;0
Ørskog;SN60800;29.02.2020;3,9;0,1;-5,3;4
Ørskog;SN60800;01.03.2020;4,7;2,3;0,2;3
Ørskog;SN60800;02.03.2020;6,7;2,4;-2,1;3
Ørskog;SN60800;03.03.2020;9,1;4,3;-0,8;3
Ørskog;SN60800;04.03.2020;7,9;4,3;1,2;2
Ørskog;SN60800;05.03.2020;6,2;3,3;-2;0
Ørskog;SN60800;06.03.2020;6,7;4,7;3;0
Ørskog;SN60800;07.03.2020;8,3;6;2,2;0
Ørskog;SN60800;08.03.2020;13,4;9,4;6;0
Ørskog;SN60800;09.03.2020;7,8;4,4;2,6;0
Ørskog;SN60800;10.03.2020;8;5;-0,5;-
Ørskog;SN60800;11.03.2020;8,7;5,7;4;-
Ørskog;SN60800;12.03.2020;7,3;2,5;0,3;-
Ørskog;SN60800;13.03.2020;1,5;-1,6;-3,3;7
Ørskog;SN60800;14.03.2020;3,6;1,1;-5,3;17
Ørskog;SN60800;15.03.2020;7;4,3;2,4;4
Ørskog;SN60800;16.03.2020;8,3;3,6;-2,1;0
Ørskog;SN60800;17.03.2020;8,3;4,8;2,3;-
Ørskog;SN60800;18.03.2020;5,6;2,7;0,8;-
Ørskog;SN60800;19.03.2020;5,3;2,2;0,6;-
Ørskog;SN60800;20.03.2020;4,6;0,8;-2,1;-
