N;S;T;MaxT;MidT;MinT;D
Ørskog;SN60800;01.07.2021;22,2;17;10,8;-
Ørskog;SN60800;02.07.2021;23,4;18,2;11,6;-
Ørskog;SN60800;03.07.2021;23,2;18,6;14,2;-
Ørskog;SN60800;04.07.2021;21,2;16,8;13,9;-
Ørskog;SN60800;05.07.2021;23,7;19,5;14,3;-
Ørskog;SN60800;06.07.2021;22,5;18;16;-
Ørskog;SN60800;07.07.2021;21,7;16,8;14,1;-
Ørskog;SN60800;08.07.2021;21,2;16,9;12,4;-
Ørskog;SN60800;09.07.2021;21,3;16,9;12,2;-
Ørskog;SN60800;10.07.2021;18,4;16,9;14,2;-
Ørskog;SN60800;11.07.2021;20,8;17,2;15,8;-
Ørskog;SN60800;12.07.2021;22,3;18;12;-
Ørskog;SN60800;13.07.2021;21,9;17,8;13,7;-
Ørskog;SN60800;14.07.2021;22,9;18,2;15,1;-
Ørskog;SN60800;15.07.2021;21;15,2;14,3;-
Ørskog;SN60800;16.07.2021;20,6;15,4;8,7;-
Ørskog;SN60800;17.07.2021;20,4;15,6;12,9;-
Ørskog;SN60800;18.07.2021;13,7;11,4;10,5;-
Ørskog;SN60800;19.07.2021;16,8;13,5;10,1;-
Ørskog;SN60800;20.07.2021;15,2;12,2;11,5;-
Ørskog;SN60800;21.07.2021;17,7;13;5,8;-
Ørskog;SN60800;22.07.2021;16,5;13,5;10,9;-
Ørskog;SN60800;23.07.2021;20,5;15,7;10,2;-
Ørskog;SN60800;24.07.2021;21,2;16,3;11,1;-
Ørskog;SN60800;25.07.2021;23,3;18,7;14,5;-
Ørskog;SN60800;26.07.2021;27,2;20,5;15;-
Ørskog;SN60800;27.07.2021;23,7;19,5;15,9;-
Ørskog;SN60800;28.07.2021;21,6;18,5;16;-
Ørskog;SN60800;29.07.2021;22,2;18,3;14,9;-
Ørskog;SN60800;31.07.2021;16;13;10,4;-
Ørskog;SN60800;01.08.2021;16,8;12,8;10,9;-
Ørskog;SN60800;02.08.2021;16,9;12,1;6,5;-
Ørskog;SN60800;03.08.2021;18,1;13,1;7,1;-
Ørskog;SN60800;04.08.2021;18,9;13,8;7,4;-
Ørskog;SN60800;05.08.2021;21,3;15,2;9,2;-
Ørskog;SN60800;06.08.2021;25,7;17,9;10,7;-
Ørskog;SN60800;07.08.2021;26,3;18,8;11,4;-
Ørskog;SN60800;08.08.2021;22,9;17,6;13,7;-
Ørskog;SN60800;09.08.2021;22,6;17;10,3;-
Ørskog;SN60800;10.08.2021;20,2;15,9;12,8;-
Ørskog;SN60800;11.08.2021;20,5;16,4;11,9;-
Ørskog;SN60800;12.08.2021;21,1;17;13,5;-
Ørskog;SN60800;13.08.2021;20,3;16,2;14,3;-
Ørskog;SN60800;14.08.2021;15,2;12,9;12,4;-
Ørskog;SN60800;15.08.2021;17,1;13,3;11,1;-
Ørskog;SN60800;16.08.2021;18,3;14;11,2;-
Ørskog;SN60800;17.08.2021;19,4;15;11,8;-
Ørskog;SN60800;18.08.2021;15,4;12,2;11,6;-
Ørskog;SN60800;19.08.2021;14,5;11,7;10,6;-
Ørskog;SN60800;20.08.2021;12;10,9;9,7;-
Ørskog;SN60800;21.08.2021;18,1;12,8;10,2;-
Ørskog;SN60800;22.08.2021;18;12,2;6,3;-
Ørskog;SN60800;23.08.2021;17;12,1;6,9;-
Ørskog;SN60800;24.08.2021;16,6;12,9;9,3;-
Ørskog;SN60800;25.08.2021;16,5;12,6;11,6;-
Ørskog;SN60800;26.08.2021;17,9;13,2;7,9;-
Ørskog;SN60800;27.08.2021;20,4;13,5;7,1;-
Ørskog;SN60800;28.08.2021;18,9;13,4;8,2;-
Ørskog;SN60800;29.08.2021;16,2;12,6;8;-
Ørskog;SN60800;30.08.2021;15,1;13;12;-
Ørskog;SN60800;31.08.2021;14,7;11,8;8;0
Ørskog;SN60800;01.09.2021;13,9;12,9;10,8;0
Ørskog;SN60800;02.09.2021;14,1;13;12,2;0
Ørskog;SN60800;03.09.2021;15,3;11,2;9,8;0
Ørskog;SN60800;04.09.2021;15,2;9,3;3,8;0
Ørskog;SN60800;05.09.2021;17,2;11;5,3;0
Ørskog;SN60800;06.09.2021;16,4;13,9;9,8;0
Ørskog;SN60800;07.09.2021;17,2;15,1;13,4;0
Ørskog;SN60800;08.09.2021;16,5;14,8;14,1;0
Ørskog;SN60800;10.09.2021;14,4;13,2;12,3;0
Ørskog;SN60800;11.09.2021;14,9;13,3;12;0
Ørskog;SN60800;12.09.2021;14,1;11,2;9,8;0
Ørskog;SN60800;13.09.2021;14,5;10,5;8,8;0
Ørskog;SN60800;14.09.2021;16;10,7;6,7;0
Ørskog;SN60800;15.09.2021;15,9;10,7;5,9;0
Ørskog;SN60800;16.09.2021;14,2;12,2;10,3;0
Ørskog;SN60800;17.09.2021;19,4;13,1;11,4;0
Ørskog;SN60800;18.09.2021;16,6;13,4;8;0
Ørskog;SN60800;19.09.2021;18,6;13,1;8,8;0
Ørskog;SN60800;20.09.2021;16,7;13,6;10,4;0
Ørskog;SN60800;21.09.2021;16,1;11,9;8,6;0
Ørskog;SN60800;22.09.2021;19,9;14,1;9,4;0
Ørskog;SN60800;23.09.2021;12,1;9,4;8;0
Ørskog;SN60800;24.09.2021;12,3;9,7;6,2;0
Ørskog;SN60800;25.09.2021;12,3;10,8;8,9;0
Ørskog;SN60800;26.09.2021;19,3;15,7;9,6;0
Ørskog;SN60800;27.09.2021;22,5;18,6;12,2;0
Ørskog;SN60800;28.09.2021;20,7;12,6;9,4;0
Ørskog;SN60800;29.09.2021;18;11,1;6,2;0
Ørskog;SN60800;30.09.2021;19,7;13,1;8,3;0
