N;S;T;MaxT;MidT;MinT;D
Ørskog;SN60800;01.10.2020;21,3;14;8,4;0
Ørskog;SN60800;02.10.2020;19,4;15;10,3;0
Ørskog;SN60800;03.10.2020;19,9;13,3;8,6;0
Ørskog;SN60800;04.10.2020;20,8;14,1;8,1;0
Ørskog;SN60800;05.10.2020;15,7;12,3;10,2;0
Ørskog;SN60800;06.10.2020;18,9;10,8;6,2;0
Ørskog;SN60800;07.10.2020;13;9,8;6,9;0
Ørskog;SN60800;08.10.2020;12,6;9;7,9;0
Ørskog;SN60800;09.10.2020;8,5;6,6;5;0
Ørskog;SN60800;10.10.2020;13,1;6,7;2,3;0
Ørskog;SN60800;11.10.2020;10;8,2;7,4;0
Ørskog;SN60800;12.10.2020;11,4;6,2;2,6;0
Ørskog;SN60800;13.10.2020;11,3;4,4;0,7;0
Ørskog;SN60800;14.10.2020;10,1;3,9;0,2;0
Ørskog;SN60800;15.10.2020;10,7;4,9;0,4;0
Ørskog;SN60800;16.10.2020;11,1;5,7;2,4;0
Ørskog;SN60800;17.10.2020;7,8;6,4;4,4;0
Ørskog;SN60800;18.10.2020;6,1;3;1,9;0
Ørskog;SN60800;19.10.2020;6,1;2,3;0;0
Ørskog;SN60800;20.10.2020;5,3;3,2;-1;0
Ørskog;SN60800;21.10.2020;5,8;4,6;3,8;0
Ørskog;SN60800;22.10.2020;6,7;3,1;1,6;0
Ørskog;SN60800;23.10.2020;5,2;1;-3;0
Ørskog;SN60800;24.10.2020;8,9;7;0,8;0
Ørskog;SN60800;25.10.2020;11,6;9;5,6;0
Ørskog;SN60800;26.10.2020;13,8;8,8;4,3;0
Ørskog;SN60800;27.10.2020;10,1;4,9;2;0
Ørskog;SN60800;28.10.2020;11,1;6,8;2,7;0
Ørskog;SN60800;29.10.2020;10,4;6,7;4,4;0
Ørskog;SN60800;30.10.2020;12,7;8,1;1,5;0
Ørskog;SN60800;31.10.2020;13,5;9,3;3,2;0
Ørskog;SN60800;01.11.2020;17;13,6;9,4;0
Ørskog;SN60800;02.11.2020;14;10;7,8;0
Ørskog;SN60800;03.11.2020;9,9;7;4,3;0
Ørskog;SN60800;04.11.2020;9;6,6;4,5;0
Ørskog;SN60800;05.11.2020;13,4;10,5;5,7;0
Ørskog;SN60800;06.11.2020;13,1;10,8;6,5;0
Ørskog;SN60800;07.11.2020;14,2;9,3;7,4;0
Ørskog;SN60800;08.11.2020;7,4;6,1;5,5;0
Ørskog;SN60800;09.11.2020;8,8;6,1;3,8;0
Ørskog;SN60800;10.11.2020;10,8;8,1;4,5;0
Ørskog;SN60800;11.11.2020;13;10,2;5,9;0
Ørskog;SN60800;12.11.2020;14,4;12,8;8,9;0
Ørskog;SN60800;13.11.2020;13,7;11,6;7,4;0
Ørskog;SN60800;14.11.2020;13,4;12;10,2;0
Ørskog;SN60800;15.11.2020;14,5;11,5;7,5;0
Ørskog;SN60800;16.11.2020;15,6;9,8;7;0
Ørskog;SN60800;17.11.2020;11,8;8,5;7,1;0
Ørskog;SN60800;18.11.2020;8;3,4;0,2;0
Ørskog;SN60800;19.11.2020;4,5;2;-1,1;0
Ørskog;SN60800;20.11.2020;4,4;2,2;0,3;0
Ørskog;SN60800;21.11.2020;11,2;7,3;2,9;0
Ørskog;SN60800;22.11.2020;8,6;6,1;5,2;0
Ørskog;SN60800;23.11.2020;5,7;4,6;2;0
Ørskog;SN60800;24.11.2020;9,1;6,5;3,7;0
Ørskog;SN60800;25.11.2020;8,4;5,7;3,4;0
Ørskog;SN60800;26.11.2020;6,4;3,5;2,2;0
Ørskog;SN60800;27.11.2020;4,8;2,3;-1;0
Ørskog;SN60800;28.11.2020;7,4;4,3;-1,3;0
Ørskog;SN60800;29.11.2020;9,2;6,2;1;0
Ørskog;SN60800;30.11.2020;10,3;6,5;2,8;0
Ørskog;SN60800;01.12.2020;4;3,2;0,1;0
Ørskog;SN60800;02.12.2020;10,4;9,1;2,5;0
Ørskog;SN60800;03.12.2020;8,5;7,1;4;0
Ørskog;SN60800;04.12.2020;7,9;4,5;2,2;0
Ørskog;SN60800;05.12.2020;4,9;2,6;0,9;0
Ørskog;SN60800;06.12.2020;4,7;2,5;-1,3;0
Ørskog;SN60800;07.12.2020;8,8;4,6;0,5;0
Ørskog;SN60800;08.12.2020;11,2;9;5,3;0
Ørskog;SN60800;09.12.2020;8,4;5;3,3;0
Ørskog;SN60800;10.12.2020;6,4;3,8;-0,3;0
Ørskog;SN60800;11.12.2020;8,3;2,4;-1,5;0
Ørskog;SN60800;12.12.2020;5,2;2,7;-1,7;0
Ørskog;SN60800;13.12.2020;4;3,3;-0,4;0
Ørskog;SN60800;14.12.2020;10;8;2,5;0
Ørskog;SN60800;15.12.2020;10,2;7,1;5,4;0
Ørskog;SN60800;16.12.2020;7,9;4,3;1,2;0
Ørskog;SN60800;17.12.2020;10,8;7,6;1,4;0
Ørskog;SN60800;18.12.2020;10,8;8,9;3,1;0
Ørskog;SN60800;19.12.2020;16,8;13,2;9,7;5
Ørskog;SN60800;20.12.2020;14,6;11,2;9,5;5
Ørskog;SN60800;21.12.2020;10,8;9,9;8,7;4
Ørskog;SN60800;22.12.2020;10,7;7;4,9;0
Ørskog;SN60800;23.12.2020;5,8;3,3;0,8;0
Ørskog;SN60800;24.12.2020;1,2;0,4;0,2;0
Ørskog;SN60800;25.12.2020;2,2;1,1;-1,2;0
Ørskog;SN60800;26.12.2020;7,6;6,3;1,9;0
Ørskog;SN60800;27.12.2020;10;8,4;6,1;0
Ørskog;SN60800;28.12.2020;9,3;5,5;1,5;0
Ørskog;SN60800;29.12.2020;6,5;2,5;0,4;-
Ørskog;SN60800;30.12.2020;5;0,8;-0,7;-
Ørskog;SN60800;31.12.2020;3,2;1,2;0,1;-
