N;S;T;MaxT;MidT;MinT;D
Ørskog;SN60800;01.04.2021;5,1;3,8;2,2;0
Ørskog;SN60800;02.04.2021;5,3;3;1,8;0
Ørskog;SN60800;03.04.2021;8,8;4,2;0,8;0
Ørskog;SN60800;04.04.2021;7,5;3,2;-1,2;0
Ørskog;SN60800;05.04.2021;3,6;1,5;-3,4;27
Ørskog;SN60800;06.04.2021;3,5;1,8;0,5;28
Ørskog;SN60800;07.04.2021;3,1;0,3;-0,4;27
Ørskog;SN60800;08.04.2021;3,9;1,1;-2,6;40
Ørskog;SN60800;09.04.2021;4,3;1,8;0,3;28
Ørskog;SN60800;10.04.2021;4,7;1,6;0,4;26
Ørskog;SN60800;11.04.2021;6,3;2,4;0;30
Ørskog;SN60800;12.04.2021;7;2,3;-2,1;25
Ørskog;SN60800;13.04.2021;3,7;1,6;0,1;27
Ørskog;SN60800;14.04.2021;8;3;0,2;26
Ørskog;SN60800;15.04.2021;10,7;5,2;0,5;22
Ørskog;SN60800;16.04.2021;12,2;5,1;-0,7;18
Ørskog;SN60800;17.04.2021;13,1;5,7;-1,4;16
Ørskog;SN60800;18.04.2021;16,5;7,7;0,5;13
Ørskog;SN60800;19.04.2021;17;9,7;1,5;9
Ørskog;SN60800;20.04.2021;15,6;7,8;4,1;3
Ørskog;SN60800;21.04.2021;6,3;3,1;1,6;0
Ørskog;SN60800;22.04.2021;5,5;2,4;0,5;0
Ørskog;SN60800;23.04.2021;4,4;1,3;-0,8;0
Ørskog;SN60800;24.04.2021;5,8;1,7;-1,4;0
Ørskog;SN60800;25.04.2021;5,1;2,7;-0,5;0
Ørskog;SN60800;26.04.2021;9,3;4;-1,3;0
Ørskog;SN60800;27.04.2021;9,5;4,5;-0,9;0
Ørskog;SN60800;28.04.2021;8,5;4,4;-1,1;0
Ørskog;SN60800;29.04.2021;8,9;4,1;-2;0
Ørskog;SN60800;30.04.2021;8,2;3,7;-1,5;0
Ørskog;SN60800;01.05.2021;9,4;4,6;-1,4;0
Ørskog;SN60800;02.05.2021;9,3;5;-0,9;0
Ørskog;SN60800;03.05.2021;7,7;5;1,7;0
Ørskog;SN60800;04.05.2021;12,4;6,5;-0,2;0
Ørskog;SN60800;05.05.2021;12,9;8;2,5;0
Ørskog;SN60800;06.05.2021;11,3;7,3;3,2;0
Ørskog;SN60800;07.05.2021;10,3;4,8;-1,4;0
Ørskog;SN60800;08.05.2021;9;4,9;1,8;0
Ørskog;SN60800;09.05.2021;13,6;8,7;1,9;0
Ørskog;SN60800;10.05.2021;16,1;11,7;8,1;0
Ørskog;SN60800;11.05.2021;19,5;15,2;9,7;0
Ørskog;SN60800;12.05.2021;16,7;9,3;4,8;0
Ørskog;SN60800;13.05.2021;13,1;10,4;8,4;0
Ørskog;SN60800;14.05.2021;14,3;10,5;8,6;0
Ørskog;SN60800;15.05.2021;21,8;14,4;7,4;0
Ørskog;SN60800;16.05.2021;13,6;9,8;9,5;0
Ørskog;SN60800;17.05.2021;14,9;10,3;7,5;0
Ørskog;SN60800;18.05.2021;11,7;9,5;8,1;0
Ørskog;SN60800;19.05.2021;12,8;9;7,3;0
Ørskog;SN60800;20.05.2021;8,8;6,6;5,6;0
Ørskog;SN60800;21.05.2021;14,9;9,2;4,8;0
Ørskog;SN60800;22.05.2021;19,1;13,4;6,6;0
Ørskog;SN60800;23.05.2021;17,8;12,4;7;0
Ørskog;SN60800;24.05.2021;14,6;10,7;5,5;0
Ørskog;SN60800;25.05.2021;19,9;14,6;8,4;0
Ørskog;SN60800;26.05.2021;20,4;15,1;8,2;0
Ørskog;SN60800;27.05.2021;19,1;10,9;6,1;0
Ørskog;SN60800;28.05.2021;17,4;11,6;5,5;0
Ørskog;SN60800;29.05.2021;19,3;13,4;5,6;0
Ørskog;SN60800;30.05.2021;17,9;11,2;6,6;0
Ørskog;SN60800;31.05.2021;18,1;12,4;6,2;0
