N;S;T;MaxT;MidT;MinT;D
Ørskog;SN60800;01.01.2022;5;1,6;-3,8;19
Ørskog;SN60800;02.01.2022;9,6;6,7;3;13
Ørskog;SN60800;03.01.2022;8,6;2,6;0,5;8
Ørskog;SN60800;04.01.2022;3,3;-0,7;-3,1;8
Ørskog;SN60800;05.01.2022;1,2;-0,9;-5,1;11
Ørskog;SN60800;06.01.2022;0,6;-2,2;-5,6;27
Ørskog;SN60800;07.01.2022;3,7;2;-2,3;22
Ørskog;SN60800;08.01.2022;3,5;0,8;-0,1;19
Ørskog;SN60800;09.01.2022;2,1;0,9;-0,9;18
Ørskog;SN60800;10.01.2022;6,1;3,7;0;17
Ørskog;SN60800;11.01.2022;10,2;6,2;2,2;10
Ørskog;SN60800;12.01.2022;8,9;7,5;4,6;7
Ørskog;SN60800;13.01.2022;8,4;7,2;6,2;0
Ørskog;SN60800;14.01.2022;6,6;2,7;1,8;0
Ørskog;SN60800;15.01.2022;5,8;3,2;0,3;0
Ørskog;SN60800;16.01.2022;8,9;3,8;0,6;0
Ørskog;SN60800;17.01.2022;3,1;2,1;-0,1;6
Ørskog;SN60800;18.01.2022;9;5,9;1;3
Ørskog;SN60800;19.01.2022;11,1;2,5;-2,8;0
Ørskog;SN60800;20.01.2022;0,9;-0,4;-2,3;13
Ørskog;SN60800;21.01.2022;1,4;0,8;-0,8;22
Ørskog;SN60800;22.01.2022;10,4;4,2;1;15
Ørskog;SN60800;23.01.2022;11,2;8,8;3,2;10
Ørskog;SN60800;24.01.2022;10,5;5,6;2,6;0
Ørskog;SN60800;25.01.2022;5,7;4,3;2,9;0
Ørskog;SN60800;26.01.2022;6,7;4,3;3;0
Ørskog;SN60800;27.01.2022;4,9;3;1,1;0
Ørskog;SN60800;28.01.2022;4,6;3;0,2;0
Ørskog;SN60800;29.01.2022;8;4,3;1,1;0
Ørskog;SN60800;31.01.2022;1,3;-0,9;-2,3;0
Ørskog;SN60800;01.02.2022;0,8;-0,5;-3,2;15
Ørskog;SN60800;02.02.2022;1,4;0;-1,7;29
Ørskog;SN60800;03.02.2022;5,8;3,2;-4,4;30
Ørskog;SN60800;04.02.2022;10,7;2;0,5;15
Ørskog;SN60800;05.02.2022;5,6;2,8;0,4;17
Ørskog;SN60800;06.02.2022;5,2;1,4;-1,4;19
Ørskog;SN60800;07.02.2022;4,6;2,6;0,4;17
Ørskog;SN60800;08.02.2022;6,8;3,4;1,4;13
Ørskog;SN60800;09.02.2022;4,9;2,9;0,7;12
Ørskog;SN60800;10.02.2022;5,2;0,7;-0,2;11
Ørskog;SN60800;11.02.2022;1,6;0,1;-2,7;18
Ørskog;SN60800;12.02.2022;7;4;0,2;17
Ørskog;SN60800;13.02.2022;8,3;4,3;2,4;10
Ørskog;SN60800;14.02.2022;2,8;1,8;1,1;7
Ørskog;SN60800;15.02.2022;2,7;2;0,9;6
Ørskog;SN60800;16.02.2022;6,3;3;0;6
Ørskog;SN60800;17.02.2022;4,2;0;-1,6;7
Ørskog;SN60800;18.02.2022;2,6;0,8;-1,7;7
Ørskog;SN60800;19.02.2022;2,9;0,1;-2,7;17
Ørskog;SN60800;20.02.2022;2,7;0,7;-1,9;34
Ørskog;SN60800;21.02.2022;3,4;0,9;0,2;30
Ørskog;SN60800;22.02.2022;4;1,1;-4;33
Ørskog;SN60800;23.02.2022;5,1;3,2;0,6;27
Ørskog;SN60800;24.02.2022;5,7;2,2;0,6;22
Ørskog;SN60800;25.02.2022;4,8;2,1;0,3;20
Ørskog;SN60800;26.02.2022;10,6;6,7;-0,3;22
Ørskog;SN60800;27.02.2022;11,8;9,6;6,5;13
Ørskog;SN60800;28.02.2022;11,7;7,8;-0,1;9
Ørskog;SN60800;01.03.2022;10,9;4,5;2,4;4
Ørskog;SN60800;02.03.2022;7,3;4,1;2;0
Ørskog;SN60800;03.03.2022;7,7;1,9;-1,9;0
Ørskog;SN60800;04.03.2022;7,5;4,9;-1,6;0
Ørskog;SN60800;05.03.2022;6,5;3,7;1,4;0
Ørskog;SN60800;06.03.2022;4,9;2,6;-0,1;0
Ørskog;SN60800;07.03.2022;10,1;4,2;0,5;0
Ørskog;SN60800;08.03.2022;11,1;4,4;-3;0
Ørskog;SN60800;09.03.2022;14,5;9,8;0,7;0
Ørskog;SN60800;10.03.2022;13,7;11,9;10,7;0
Ørskog;SN60800;11.03.2022;12,4;10,2;8,2;0
Ørskog;SN60800;12.03.2022;15,8;11,2;6,4;0
Ørskog;SN60800;13.03.2022;13,1;8,7;2;0
Ørskog;SN60800;14.03.2022;14,4;10,1;4,8;0
Ørskog;SN60800;15.03.2022;12,4;8,1;2,5;0
Ørskog;SN60800;16.03.2022;11,6;9,8;4,4;0
Ørskog;SN60800;17.03.2022;10,9;9;7,8;0
Ørskog;SN60800;18.03.2022;9,5;6,1;2,2;0
Ørskog;SN60800;19.03.2022;14;11,1;7,9;0
Ørskog;SN60800;20.03.2022;13,1;6,8;4,8;0
Ørskog;SN60800;21.03.2022;12,4;5,4;-0,7;0
Ørskog;SN60800;22.03.2022;8,7;4,4;-0,5;0
Ørskog;SN60800;23.03.2022;13,7;9,3;2,2;0
Ørskog;SN60800;24.03.2022;12,8;9,3;7,3;0
Ørskog;SN60800;25.03.2022;11,7;6,6;4,6;0
Ørskog;SN60800;26.03.2022;7,2;4,3;1,5;0
Ørskog;SN60800;27.03.2022;11,3;7,8;3,7;0
Ørskog;SN60800;28.03.2022;9,6;3,1;1,2;0
Ørskog;SN60800;29.03.2022;2,9;-0,3;-1,4;13
Ørskog;SN60800;30.03.2022;3,7;-1,5;-7,1;9
Ørskog;SN60800;31.03.2022;6,5;1,2;-0,7;22
