N;S;T;MaxT;MidT;MinT;D
Ørskog;SN60800;01.10.2022;17,7;12,8;7,3;0
Ørskog;SN60800;02.10.2022;17,5;11,6;7,7;0
Ørskog;SN60800;03.10.2022;17,6;12,5;5,2;0
Ørskog;SN60800;04.10.2022;16,5;14,2;9,5;0
Ørskog;SN60800;05.10.2022;15,6;12,6;10,3;0
Ørskog;SN60800;06.10.2022;14,4;10,3;6,5;0
Ørskog;SN60800;07.10.2022;13,9;11,8;8;0
Ørskog;SN60800;08.10.2022;16,3;13,5;12,3;0
Ørskog;SN60800;09.10.2022;20,8;16,4;11,9;0
Ørskog;SN60800;10.10.2022;17,7;11;9,1;0
Ørskog;SN60800;11.10.2022;9,1;6,6;5;0
Ørskog;SN60800;12.10.2022;8,7;5,7;4,7;0
Ørskog;SN60800;13.10.2022;8,3;6,2;2,5;0
Ørskog;SN60800;14.10.2022;11,3;9,6;7,4;0
Ørskog;SN60800;15.10.2022;8,4;5,1;3,4;0
Ørskog;SN60800;16.10.2022;7,3;4,6;2,9;0
Ørskog;SN60800;17.10.2022;4,3;2,5;1;0
Ørskog;SN60800;18.10.2022;6,1;3,5;-0,6;0
Ørskog;SN60800;19.10.2022;12,9;9,6;5,5;0
Ørskog;SN60800;20.10.2022;11,9;8;6,1;0
Ørskog;SN60800;21.10.2022;6,5;5;3,4;0
Ørskog;SN60800;22.10.2022;7,1;5,3;3,3;0
Ørskog;SN60800;23.10.2022;7,4;5,3;2;0
Ørskog;SN60800;24.10.2022;14,5;12,8;6,8;0
Ørskog;SN60800;25.10.2022;14,1;11,3;9,1;0
Ørskog;SN60800;26.10.2022;10,6;7,9;4,4;0
Ørskog;SN60800;27.10.2022;13,4;10,5;7,5;0
Ørskog;SN60800;28.10.2022;14,6;11;9,1;0
Ørskog;SN60800;29.10.2022;13,8;11,4;9,5;0
Ørskog;SN60800;30.10.2022;16,1;12,7;8,1;0
Ørskog;SN60800;31.10.2022;15,7;10,8;6,9;0
Ørskog;SN60800;01.11.2022;15,1;10,7;5;0
Ørskog;SN60800;02.11.2022;15,9;9,9;5,7;0
Ørskog;SN60800;03.11.2022;9,6;3,9;2,3;0
Ørskog;SN60800;04.11.2022;7,1;3;1;0
Ørskog;SN60800;05.11.2022;6,8;5,3;1,2;0
Ørskog;SN60800;06.11.2022;6,7;4;1,6;0
Ørskog;SN60800;07.11.2022;6,6;3,8;1,2;0
Ørskog;SN60800;08.11.2022;7;3,5;-1,7;0
Ørskog;SN60800;09.11.2022;12,1;9,6;7;0
