N;S;T;MaxT;MidT;MinT;D
Ørskog;SN60800;01.04.2020;6,9;3,9;2,3;-
Ørskog;SN60800;02.04.2020;5,4;1,7;-0,2;0
Ørskog;SN60800;03.04.2020;3,2;-0,1;-1,5;18
Ørskog;SN60800;04.04.2020;6,7;0,9;-1,9;23
Ørskog;SN60800;05.04.2020;11,9;6,7;-0,6;24
Ørskog;SN60800;06.04.2020;16,5;12,2;7,1;5
Ørskog;SN60800;07.04.2020;12,8;8,9;4,3;-
Ørskog;SN60800;08.04.2020;11,5;6,5;4,1;-
Ørskog;SN60800;09.04.2020;5,2;2,8;1,2;-
Ørskog;SN60800;10.04.2020;6,8;3,6;1,2;-
Ørskog;SN60800;11.04.2020;8,6;6,2;0,7;-
Ørskog;SN60800;12.04.2020;8,8;3,8;0,9;-
Ørskog;SN60800;13.04.2020;3,1;0,9;-0,5;10
Ørskog;SN60800;14.04.2020;5,5;3;-0,2;20
Ørskog;SN60800;15.04.2020;7,2;4,9;2,6;3
Ørskog;SN60800;16.04.2020;6,3;2,7;1,2;0
Ørskog;SN60800;17.04.2020;7,5;3,2;0,8;0
Ørskog;SN60800;18.04.2020;10,7;4,9;-1,4;0
Ørskog;SN60800;19.04.2020;11,8;5,9;-0,2;0
Ørskog;SN60800;20.04.2020;17;8;0,8;-
Ørskog;SN60800;21.04.2020;17,9;9,3;2,1;-
Ørskog;SN60800;22.04.2020;17,3;9;2,5;-
Ørskog;SN60800;23.04.2020;11,2;5,1;1,6;-
Ørskog;SN60800;24.04.2020;9;6;4,1;-
Ørskog;SN60800;25.04.2020;8,5;6,1;2,5;-
Ørskog;SN60800;26.04.2020;9,1;6,7;4,4;-
Ørskog;SN60800;27.04.2020;11,5;7,2;1,1;0
Ørskog;SN60800;28.04.2020;13,7;7,4;1,5;0
Ørskog;SN60800;29.04.2020;10,9;6,9;2,6;0
Ørskog;SN60800;30.04.2020;13,1;8,6;1,2;0
Ørskog;SN60800;01.05.2020;11,8;6,6;3,7;0
Ørskog;SN60800;02.05.2020;7,6;5,8;3,9;0
Ørskog;SN60800;03.05.2020;6,4;4,1;3,1;0
Ørskog;SN60800;04.05.2020;7,2;3,6;1,3;0
Ørskog;SN60800;05.05.2020;9,8;6,3;0,6;0
Ørskog;SN60800;06.05.2020;9,6;7,1;6,3;0
Ørskog;SN60800;07.05.2020;10,8;6,5;2,9;0
Ørskog;SN60800;08.05.2020;8;6,2;5,3;0
Ørskog;SN60800;09.05.2020;8,3;4,7;3,3;0
Ørskog;SN60800;10.05.2020;5,4;2,2;-0,1;0
Ørskog;SN60800;11.05.2020;4,8;1,4;0,2;0
Ørskog;SN60800;12.05.2020;5,8;1,6;-0,2;0
Ørskog;SN60800;13.05.2020;4,6;1,2;-0,6;0
Ørskog;SN60800;14.05.2020;6,5;2,3;-0,1;0
Ørskog;SN60800;15.05.2020;5,9;2,3;0,4;0
Ørskog;SN60800;16.05.2020;4,5;2,2;0,5;0
Ørskog;SN60800;17.05.2020;7,4;4,2;1,3;0
Ørskog;SN60800;18.05.2020;9,5;5,4;1,1;0
Ørskog;SN60800;19.05.2020;9,4;5,1;0;0
Ørskog;SN60800;20.05.2020;14,7;8,2;0,6;0
Ørskog;SN60800;21.05.2020;16,2;12,4;6,1;0
Ørskog;SN60800;22.05.2020;19,8;15,2;8,8;0
Ørskog;SN60800;23.05.2020;18;14,3;10,4;0
Ørskog;SN60800;24.05.2020;17,1;11,8;8,4;0
Ørskog;SN60800;25.05.2020;14,9;11,4;8,3;0
Ørskog;SN60800;26.05.2020;14,7;11;7,2;0
Ørskog;SN60800;27.05.2020;12,2;8,2;5,2;0
Ørskog;SN60800;28.05.2020;12,7;9,1;6,4;0
Ørskog;SN60800;29.05.2020;17,2;11,4;3,8;0
Ørskog;SN60800;30.05.2020;21,6;14,9;7,4;0
Ørskog;SN60800;31.05.2020;24,3;17,6;10;0
Ørskog;SN60800;01.06.2020;21,2;15;8,8;0
Ørskog;SN60800;02.06.2020;17,2;12,7;8;0
Ørskog;SN60800;03.06.2020;13,9;11,7;11,3;0
Ørskog;SN60800;04.06.2020;19;12,7;9,5;0
Ørskog;SN60800;05.06.2020;22,2;14,8;6,5;0
Ørskog;SN60800;06.06.2020;17,1;13,6;11,8;0
Ørskog;SN60800;07.06.2020;14,6;8,6;6,9;0
Ørskog;SN60800;08.06.2020;9,1;7,5;5,9;0
Ørskog;SN60800;09.06.2020;15,3;11,2;7,3;0
Ørskog;SN60800;10.06.2020;18,7;13,7;6,6;0
Ørskog;SN60800;11.06.2020;19,5;14,6;8,2;0
Ørskog;SN60800;12.06.2020;27,5;19,1;9,8;0
Ørskog;SN60800;13.06.2020;25,7;18,9;12;0
Ørskog;SN60800;14.06.2020;22,9;17,5;11,4;0
Ørskog;SN60800;15.06.2020;22,6;17;12,5;0
Ørskog;SN60800;16.06.2020;23,4;17,9;11,7;0
Ørskog;SN60800;17.06.2020;25,9;18,9;13,7;0
Ørskog;SN60800;18.06.2020;22,8;18,2;12,4;0
Ørskog;SN60800;19.06.2020;31,6;23,1;14,9;0
Ørskog;SN60800;20.06.2020;30,1;22,3;16,4;0
Ørskog;SN60800;21.06.2020;25;18,3;16;0
Ørskog;SN60800;22.06.2020;19,5;16,5;14,4;0
Ørskog;SN60800;23.06.2020;20,5;16,2;10,6;0
Ørskog;SN60800;24.06.2020;26;18,8;12,9;0
Ørskog;SN60800;25.06.2020;24,3;18,1;13,6;0
Ørskog;SN60800;26.06.2020;24,6;20,3;14,1;0
Ørskog;SN60800;27.06.2020;30,1;23,7;16,5;0
Ørskog;SN60800;28.06.2020;26,2;19,2;15,5;0
Ørskog;SN60800;29.06.2020;20,7;16,3;12,7;0
Ørskog;SN60800;30.06.2020;19,4;13;11,1;0
