N;S;T;MaxT;MidT;MinT;D
Ørskog;SN60800;01.01.2021;1,2;-1,2;-4,1;-
Ørskog;SN60800;02.01.2021;2,1;-0,8;-4,1;3
Ørskog;SN60800;03.01.2021;-0,4;-5,6;-6,9;0
Ørskog;SN60800;04.01.2021;-4,9;-6,6;-7,4;0
Ørskog;SN60800;05.01.2021;-1,5;-3,8;-7,1;0
Ørskog;SN60800;06.01.2021;-2,6;-4,8;-6,9;0
Ørskog;SN60800;07.01.2021;0,4;-1,1;-6,8;-
Ørskog;SN60800;08.01.2021;-0,2;-3,3;-6;-
Ørskog;SN60800;09.01.2021;6,9;3,6;-3,7;-
Ørskog;SN60800;10.01.2021;5,5;-0,1;-3,2;0
Ørskog;SN60800;11.01.2021;0,4;-3,7;-6,8;8
Ørskog;SN60800;12.01.2021;1,4;-1,2;-8,7;15
Ørskog;SN60800;13.01.2021;0,8;-6,7;-9,3;28
Ørskog;SN60800;14.01.2021;-7,1;-10;-10,8;24
Ørskog;SN60800;15.01.2021;-5,9;-8,3;-11,1;21
Ørskog;SN60800;16.01.2021;-3;-7,8;-11,4;20
Ørskog;SN60800;17.01.2021;5,6;2,9;-7,4;18
Ørskog;SN60800;18.01.2021;6,3;4,2;1,3;15
Ørskog;SN60800;19.01.2021;4,8;2,5;-0,6;14
Ørskog;SN60800;20.01.2021;1,6;0;-3,7;14
Ørskog;SN60800;21.01.2021;6,5;5,1;0;13
Ørskog;SN60800;22.01.2021;7,6;1,1;-0,5;11
Ørskog;SN60800;23.01.2021;4,8;1,7;-0,8;10
Ørskog;SN60800;24.01.2021;4,7;1,5;-0,6;9
Ørskog;SN60800;25.01.2021;1,2;-1,4;-5,4;9
Ørskog;SN60800;26.01.2021;2;-1,6;-4,2;11
Ørskog;SN60800;27.01.2021;0;-4,7;-8,4;15
Ørskog;SN60800;28.01.2021;1,5;-1;-5,9;22
Ørskog;SN60800;29.01.2021;1,4;0,2;-1;18
Ørskog;SN60800;30.01.2021;2,1;-0,2;-2,6;22
Ørskog;SN60800;31.01.2021;0,4;-1,5;-3,1;49
Ørskog;SN60800;01.02.2021;-0,9;-2,7;-6,5;46
