id,startId,stopId,name,type,length,maxSpeed,list0,list1
1,249388063,278339233,Keiser Wilhelms gate,residential,10.175,50,,
2,249388063,7379971352,Sjøgata,trunk,21.412,50,6.155932@6.1560028@6.156062@6.156096@6.156227,62.471033@62.4709925@62.470958@62.47094@62.4709
3,256306948,7379971103,Borgundvegen,primary,8.691,50,,
4,256306948,7379971107,Niovegen,tertiary,33.41,50,6.2397003@6.239774@6.239839@6.239886@6.239854,62.470936@62.471005@62.471083@62.471154@62.471218
5,275605016,7379971272,Skansegata,tertiary,214.581,50,6.1560912@6.156075@6.1560142@6.155898@6.15574@6.1554654@6.1553643@6.155298@6.154912@6.154785@6.154739@6.154703@6.154686@6.154698@6.1547765@6.154798@6.1548381,62.4740306@62.473994@62.4739157@62.473764@62.473591@62.4733034@62.4731976@62.473128@62.472793@62.472688@62.472641@62.472589@62.472528@62.472484@62.4723367@62.4723052@62.4722504
6,275605057,278339234,Notenesgata,tertiary,10.001,50,,
7,275605057,278340782,Korsegata,tertiary,133.659,50,6.1548855@6.1549452@6.1553651@6.1554295@6.1554952@6.1555799@6.1557586@6.155849,62.4721929@62.4721292@62.4715847@62.4714912@62.4713975@62.4712982@62.4711496@62.47108
8,275605058,7379970991,Lorkenesgata,trunk,24.899,50,6.152239@6.1522894@6.152342@6.1523946@6.152446@6.15249@6.152546,62.470769@62.4707574@62.47074@62.4707141@62.470684@62.470649@62.470602
9,275605058,7379971152,Rasmus Rønnebergs gate,tertiary,61.314,50,6.152239@6.152282@6.152324@6.1524573@6.1527946@6.15309@6.153146@6.1531716,62.470769@62.470789@62.470804@62.4708426@62.4709384@62.471038@62.471074@62.4711012
10,275605058,7379971001,Lorkenesgata,trunk,44.046,50,6.152239@6.1521952@6.152146@6.152076@6.151947@6.1517163@6.151477@6.151396,62.470769@62.4707758@62.470782@62.470789@62.4708@62.470821@62.4708319@62.470828
11,277917634,7379971229,Sorenskriver Bulls gate,unclassified,40.729,50,,
12,277917634,7379971023,Tollbugata,residential,182.307,50,6.156163@6.156033@6.155655@6.15476@6.154532@6.15401@6.1538838@6.1537861@6.153746@6.1537278@6.1537801@6.153795@6.154043@6.154296,62.475676@62.475667@62.475627@62.475527@62.475501@62.47545@62.4754316@62.4754131@62.4753974@62.4753632@62.4752083@62.475148@62.475156@62.475163
13,277917634,282365547,Kongens gate,unclassified,20.052,nan,6.156163@6.1560899@6.1560714,62.475676@62.4758158@62.4758513
14,277917641,7379962117,Per Bolstads plass,unclassified,42.198,nan,6.1569976@6.1569239@6.1568814@6.1565714@6.1562659@6.1561972,62.4740326@62.4740224@62.4740179@62.4739851@62.4740151@62.4740219
15,277918686,7379970606,Storgata,tertiary,81.104,50,,
16,277918686,6284501002,Einarvikgata,unclassified,16.542,nan,,
17,277918686,7379970608,Storgata,tertiary,69.631,50,6.158004@6.1579809@6.157887@6.157797@6.157746,62.474135@62.4741971@62.474427@62.474678@62.474749
18,277918686,7379970885,Einarvikgata,unclassified,54.528,50,6.158004@6.158703@6.158798@6.1590595,62.474135@62.474173@62.47417@62.4741779
